h_id,hotel_name,dateAdded,dateUpdated,Price per night($),no.of.reserved rooms,totalAmount
21,The Inn at Solvang,2016-05-21T20:51:43Z,2018-09-10T21:03:17Z,65.25,2,130.5
22,Econolodge,2016-05-05T01:48:06Z,2018-09-10T21:03:05Z,55.5,2,111
23,Hotel Zelos,2016-11-03T22:44:36Z,2018-09-10T21:02:30Z,55.5,2,111
24,Hotel Zelos,2016-11-03T22:44:36Z,2018-09-10T21:02:30Z,55.5,3,166.5
25,Hotel Zelos,2016-11-03T22:44:36Z,2018-09-10T21:02:30Z,55.5,4,222
26,Hotel Zelos,2016-11-03T22:44:36Z,2018-09-10T21:02:30Z,50,4,200
27,EconoLodge,2016-03-23T04:12:14Z,2018-09-10T21:02:24Z,50,4,200
28,EconoLodge,2016-03-23T04:12:14Z,2018-09-10T21:02:24Z,50,4,200
29,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,50,4,200
30,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,50,4,200
31,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,50,3,150
32,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,50,2,100
33,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,50,2,100
34,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,50,4,200
35,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,50,3,150
36,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,50,3,150
37,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,50,3,150
38,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,50,2,100
39,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,50,2,100
40,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,50,2,100
41,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,7,1,7
42,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,6,2,12
43,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,7,4,28
44,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,6,6,36
45,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,6,2,12
46,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,7,3,21
47,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,7,2,14
48,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,7.275,2,14.55
49,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,6.775,2,13.55
50,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,7.175,2,14.35
51,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,6.975,2,13.95
52,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,6.225,4,24.9
53,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,6.05,5,30.25
54,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,6.8375,2,13.675
55,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,8.625,2,17.25
56,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,8.985,2,17.97
57,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,7.6244,4,30.4976
58,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,9.4,4,37.6
59,Hampton Inn Suites National HarborAlexandria Area,2018-01-28T06:16:26Z,2018-09-10T21:02:11Z,10.25,4,41
60,Fairmont Grand Del Mar,2015-10-21T17:43:40Z,2018-09-10T21:02:10Z,11.75,2,23.5
61,Fairmont Grand Del Mar,2015-10-21T17:43:40Z,2018-09-10T21:02:10Z,9.7561,4,39.0244
62,Fairmont Grand Del Mar,2015-10-21T17:43:40Z,2018-09-10T21:02:10Z,11.4,2,22.8
63,Fairmont Grand Del Mar,2015-10-21T17:43:40Z,2018-09-10T21:02:10Z,11.1275,2,22.255
64,Fairmont Grand Del Mar,2015-10-21T17:43:40Z,2018-09-10T21:02:10Z,11.2,3,33.6
65,Fairmont Grand Del Mar,2015-10-21T17:43:40Z,2018-09-10T21:02:10Z,11.4,2,22.8
66,Fairmont Grand Del Mar,2015-10-21T17:43:40Z,2018-09-10T21:02:10Z,11.4,2,22.8
67,Fairmont Grand Del Mar,2015-10-21T17:43:40Z,2018-09-10T21:02:10Z,11.4,2,22.8
68,Fairmont Grand Del Mar,2015-10-21T17:43:40Z,2018-09-10T21:02:10Z,11.4,2,22.8
69,Fairmont Grand Del Mar,2015-10-21T17:43:40Z,2018-09-10T21:02:10Z,11.4,2,22.8
70,Fairmont Grand Del Mar,2015-10-21T17:43:40Z,2018-09-10T21:02:10Z,11.435,7,80.045
71,Fairmont Grand Del Mar,2015-10-21T17:43:40Z,2018-09-10T21:02:10Z,11.4225,4,45.69
72,Fairmont Grand Del Mar,2015-10-21T17:43:40Z,2018-09-10T21:02:10Z,11.24,4,44.96
73,Fairmont Grand Del Mar,2015-10-21T17:43:40Z,2018-09-10T21:02:10Z,11.55,4,46.2
74,Fairmont Grand Del Mar,2015-10-21T17:43:40Z,2018-09-10T21:02:10Z,11.995,3,35.985
75,Fairmont Grand Del Mar,2015-10-21T17:43:40Z,2018-09-10T21:02:10Z,12.175,2,24.35
76,Best Western at OHare,2016-01-11T16:06:48Z,2018-09-10T21:01:02Z,12.73,2,25.46
77,Best Western at OHare,2016-01-11T16:06:48Z,2018-09-10T21:01:02Z,13.625,2,27.25
78,Best Western at OHare,2016-01-11T16:06:48Z,2018-09-10T21:01:02Z,12.75,2,25.5
79,Best Western at OHare,2016-01-11T16:06:48Z,2018-09-10T21:01:02Z,14.125,2,28.25
80,Clarion Resort Waterpark,2016-04-05T03:03:13Z,2018-09-10T21:00:38Z,13.25,3,39.75
81,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,13.625,2,27.25
82,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,13.375,3,40.125
83,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,12.95,3,38.85
84,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,13,4,52
85,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,13.75,3,41.25
86,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,14,3,42
87,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,14.3333,3,42.9999
88,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,15,3,45
89,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,15,4,60
90,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,15.25,4,61
91,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,16,3,48
92,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,16,6,96
93,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,17.25,4,69
94,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,23.375,5,116.875
95,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,25,4,100
96,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,24,4,96
97,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,20,3,60
98,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,18.35,4,73.4
99,Virgin Hotels Chicago,2018-01-27T05:06:56Z,2018-09-06T04:37:44Z,17.8,3,53.4
100,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,20.85,6,125.1
101,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,24.775,4,99.1
102,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,24.3,3,72.9
103,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,25.7,3,77.1
104,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,37.275,6,223.65
105,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,44.4,4,177.6
106,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,33,4,132
107,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,34.775,5,173.875
108,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,34.95,2,69.9
109,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,35.7,2,71.4
110,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,32.3,4,129.2
111,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,27.975,8,223.8
112,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,27.11,4,108.44
113,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,25.885,2,51.77
114,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,22.85,6,137.1
115,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,21.225,4,84.9
116,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,21.2,4,84.8
117,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,20.875,4,83.5
118,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,20.7,4,82.8
119,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,17.035,4,68.14
120,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,17.14,3,51.42
121,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,17.2,2,34.4
122,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,17.14,7,119.98
123,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,17.14,5,85.7
124,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,16.06,5,80.3
125,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,14.825,4,59.3
126,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,14.6,3,43.8
127,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,14.5,3,43.5
128,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,14.325,3,42.975
129,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,14.3,3,42.9
130,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,13.9,3,41.7
131,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,13.9,3,41.7
132,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,15.2,4,60.8
133,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,17.2,1,17.2
134,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,17.2,3,51.6
135,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,17.2,6,103.2
136,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,18.6,2,37.2
137,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,18.6,3,55.8
138,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,18.6,1,18.6
139,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,18.6,1,18.6
140,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,19.65,5,98.25
141,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,24,5,120
142,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,22.325,4,89.3
143,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,23,3,69
144,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,23,3,69
145,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,21.25,4,85
146,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,21,3,63
147,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,21.75,4,87
148,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,22,3,66
149,The Boxer,2017-11-06T20:51:12Z,2018-09-04T21:27:52Z,22.075,3,66.225
150,The Old No. 77 Hotel & Chandlery,2017-04-18T11:03:19Z,2018-09-04T21:27:52Z,22,4,88
151,The Old No. 77 Hotel & Chandlery,2017-04-18T11:03:19Z,2018-09-04T21:27:52Z,21,4,84
152,The Old No. 77 Hotel & Chandlery,2017-04-18T11:03:19Z,2018-09-04T21:27:52Z,18.5,3,55.5
153,The Old No. 77 Hotel & Chandlery,2017-04-18T11:03:19Z,2018-09-04T21:27:52Z,18.5,3,55.5
154,The Old No. 77 Hotel & Chandlery,2017-04-18T11:03:19Z,2018-09-04T21:27:52Z,18.2833,3,54.8499
155,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,17,4,68
156,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,17,2,34
157,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,17.3333,3,51.9999
158,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,19.05,2,38.1
159,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,20.7,2,41.4
160,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,20.7,3,62.1
161,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,21.4,2,42.8
162,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,21.4,4,85.6
163,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,21.55,4,86.2
164,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,22,4,88
165,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,23,4,92
166,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,19,4,76
167,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,19,4,76
168,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,19.25,4,77
169,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,20,4,80
170,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,20,4,80
171,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,20,4,80
172,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,20.75,4,83
173,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,21.9375,4,87.75
174,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,22,4,88
175,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,24.3,5,121.5
176,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,25.5,5,127.5
177,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,25,2,50
178,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,23,4,92
179,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,21.5,7,150.5
180,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,21,3,63
181,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,21.875,2,43.75
182,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,25,2,50
183,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,25,2,50
184,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,25,3,75
185,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,25,2,50
186,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,25,2,50
187,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,25,3,75
188,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,24.75,7,173.25
189,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,23,3,69
190,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,23,2,46
191,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,23,2,46
192,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,23.8,2,47.6
193,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,24,2,48
194,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,25,2,50
195,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,25.75,2,51.5
196,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,26.75,3,80.25
197,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,27,4,108
198,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,26,4,104
199,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,26,4,104
200,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,25.25,4,101
201,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,25,5,125
202,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,25.75,3,77.25
203,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,25,4,100
204,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,24.5,3,73.5
205,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,24.25,3,72.75
206,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,24.25,3,72.75
207,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,25.25,3,75.75
208,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,25,4,100
209,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,25,4,100
210,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,25,4,100
211,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,25,5,125
212,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,25,4,100
213,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,24.5,5,122.5
214,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,24,3,72
215,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,24,4,96
216,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,25.25,2,50.5
217,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,26,4,104
218,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,41.75,4,167
219,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,40.5,3,121.5
220,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,40,4,160
221,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,39,2,78
222,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,35.5,4,142
223,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,36.5,4,146
224,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,36.5,4,146
225,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,38.625,4,154.5
226,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,44.5,2,89
227,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,45.5,2,91
228,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,45,4,180
229,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,58.25,4,233
230,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,54.05,2,108.1
231,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,55.15,2,110.3
232,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,58.25,2,116.5
233,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,64,4,256
234,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,67.75,4,271
235,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,64,3,192
236,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,64,4,256
237,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,68.5,4,274
238,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,57.25,5,286.25
239,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,53.5,5,267.5
240,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,54,3,162
241,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,54,2,108
242,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,53.5,2,107
243,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,53.5,2,107
244,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,53.5,4,214
245,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,53.5,4,214
246,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,48.175,3,144.525
247,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,46.4,4,185.6
248,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,42.8,4,171.2
249,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,41.9,2,83.8
250,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,41.4,2,82.8
251,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,41.4,4,165.6
252,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,41.05,3,123.15
253,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,41.4,2,82.8
254,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,41.85,6,251.1
255,Main Street Station Casino Brewery Hotel,2018-04-09T05:56:34Z,2018-09-04T21:27:52Z,42,4,168
256,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,43.15,2,86.3
257,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,44.3,2,88.6
258,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,44.3,2,88.6
259,Fremont Hotel & Casino,2018-04-08T12:17:12Z,2018-09-04T21:27:52Z,44.3,2,88.6
